INFO 2025-07-06 02:28:44,959 autoreload 2424 20872 Watching for file changes with StatReloader
INFO 2025-07-06 02:29:09,263 autoreload 2424 20872 C:\Demo\capstone\medical_documents\views.py changed, reloading.
INFO 2025-07-06 02:29:10,810 autoreload 7196 21812 Watching for file changes with StatReloader
INFO 2025-07-06 02:29:28,542 autoreload 7196 21812 C:\Demo\capstone\medical_documents\views.py changed, reloading.
INFO 2025-07-06 02:29:30,021 autoreload 10604 24144 Watching for file changes with StatReloader
WARNING 2025-07-06 02:36:47,014 log 10604 19332 Not Found: /
WARNING 2025-07-06 02:36:47,014 basehttp 10604 19332 "GET / HTTP/1.1" 404 3127
WARNING 2025-07-06 02:36:49,083 log 10604 3440 Bad Request: /api/auth/login/
WARNING 2025-07-06 02:36:49,083 basehttp 10604 3440 "POST /api/auth/login/ HTTP/1.1" 400 89
WARNING 2025-07-06 02:36:51,201 log 10604 20468 Not Found: /api/auth/login/
WARNING 2025-07-06 02:36:51,205 basehttp 10604 20468 "POST /api/auth/login/ HTTP/1.1" 404 6099
WARNING 2025-07-06 02:36:53,289 log 10604 15776 Bad Request: /api/auth/login/
WARNING 2025-07-06 02:36:53,289 basehttp 10604 15776 "POST /api/auth/login/ HTTP/1.1" 400 89
WARNING 2025-07-06 02:36:55,343 log 10604 1568 Not Found: /api/auth/login/
WARNING 2025-07-06 02:36:55,344 basehttp 10604 1568 "POST /api/auth/login/ HTTP/1.1" 404 6099
WARNING 2025-07-06 02:36:57,402 log 10604 6992 Bad Request: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:36:57,402 basehttp 10604 6992 "POST /api/medical-documents/lab-results/ HTTP/1.1" 400 89
WARNING 2025-07-06 02:36:59,464 log 10604 23172 Bad Request: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:36:59,464 basehttp 10604 23172 "POST /api/medical-documents/lab-results/ HTTP/1.1" 400 89
WARNING 2025-07-06 02:37:01,756 log 10604 25576 Bad Request: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:01,756 basehttp 10604 25576 "POST /api/medical-documents/lab-results/ HTTP/1.1" 400 145
WARNING 2025-07-06 02:37:03,803 log 10604 11644 Bad Request: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:03,804 basehttp 10604 11644 "POST /api/medical-documents/lab-results/ HTTP/1.1" 400 89
WARNING 2025-07-06 02:37:05,862 log 10604 20140 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:05,862 basehttp 10604 20140 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:08,030 log 10604 22468 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:08,033 basehttp 10604 22468 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:10,203 log 10604 24412 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:10,203 basehttp 10604 24412 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:12,350 log 10604 5528 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:12,350 basehttp 10604 5528 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:14,504 log 10604 24824 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:14,504 basehttp 10604 24824 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:16,652 log 10604 24500 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:16,652 basehttp 10604 24500 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:18,837 log 10604 17192 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:18,837 basehttp 10604 17192 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:21,021 log 10604 22264 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:21,021 basehttp 10604 22264 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:23,171 log 10604 9596 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:23,172 basehttp 10604 9596 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:25,320 log 10604 19392 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:25,320 basehttp 10604 19392 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:27,479 log 10604 23328 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:27,479 basehttp 10604 23328 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:29,652 log 10604 25248 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:29,654 basehttp 10604 25248 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:31,839 log 10604 15356 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:31,839 basehttp 10604 15356 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:33,988 log 10604 20772 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:33,988 basehttp 10604 20772 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:36,136 log 10604 23168 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:37:36,136 basehttp 10604 23168 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:38,271 log 10604 4424 Forbidden: /api/ocr/textract-lab-analysis/
WARNING 2025-07-06 02:37:38,271 basehttp 10604 4424 "POST /api/ocr/textract-lab-analysis/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:40,307 log 10604 5532 Forbidden: /api/ocr/textract-lab-analysis/
WARNING 2025-07-06 02:37:40,307 basehttp 10604 5532 "POST /api/ocr/textract-lab-analysis/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:42,356 log 10604 24032 Forbidden: /api/ocr/textract-lab-analysis/
WARNING 2025-07-06 02:37:42,356 basehttp 10604 24032 "POST /api/ocr/textract-lab-analysis/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:44,422 log 10604 11352 Forbidden: /api/ocr/textract-lab-analysis/
WARNING 2025-07-06 02:37:44,453 basehttp 10604 11352 "POST /api/ocr/textract-lab-analysis/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:46,471 log 10604 3192 Forbidden: /api/auth/login/
WARNING 2025-07-06 02:37:46,471 basehttp 10604 3192 "POST /api/auth/login/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:49,021 log 10604 7008 Forbidden: /api/auth/login/
WARNING 2025-07-06 02:37:49,021 basehttp 10604 7008 "POST /api/auth/login/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:51,557 log 10604 21740 Forbidden: /api/auth/login/
WARNING 2025-07-06 02:37:51,557 basehttp 10604 21740 "POST /api/auth/login/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:54,095 log 10604 20248 Forbidden: /api/auth/login/
WARNING 2025-07-06 02:37:54,095 basehttp 10604 20248 "POST /api/auth/login/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:56,621 log 10604 1740 Forbidden: /api/auth/login/
WARNING 2025-07-06 02:37:56,621 basehttp 10604 1740 "POST /api/auth/login/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:37:59,160 log 10604 10196 Forbidden: /api/auth/login/
WARNING 2025-07-06 02:37:59,160 basehttp 10604 10196 "POST /api/auth/login/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:38:01,757 log 10604 25012 Forbidden: /api/medical-documents/lab-results/
WARNING 2025-07-06 02:38:01,757 basehttp 10604 25012 "GET /api/medical-documents/lab-results/ HTTP/1.1" 403 104
WARNING 2025-07-06 02:38:27,582 log 10604 8196 Forbidden: /api/clinic/
